depth,uo,vo,thetao,so,rhoa
-3.00000000,-0.02720944,0.00785560,14.40766721,33.98222180,1025.31475867
-10.00000000,-0.02565886,0.00631384,13.81452990,34.10334204,1025.53272546
-15.00000000,-0.02070370,0.01767368,13.45073845,34.29879632,1025.75865763
-20.00000000,0.00356560,0.00303114,12.19825934,34.61322976,1026.25069807
-30.00000000,-0.00724091,-0.01902270,10.02449238,35.10449485,1027.02941648
-50.00000000,-0.00804693,-0.01007068,9.11126577,35.15579717,1027.22221901
-75.00000000,-0.00537514,-0.01054849,7.97906745,35.25609545,1027.47825750
-100.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-125.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-150.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-200.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-250.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-300.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-400.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-500.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-600.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-750.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-1000.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-1500.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-2000.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-3000.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-4000.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
-5000.00000000,-0.00440249,-0.01300000,7.55641774,35.28504779,1027.56378571
